merchant_code,merchant_name,contact_person,phone,township,address
CMH,Baby Kyaw,CM,09683843574,Lanmadaw,"No. 70, Ground Floor, Wadan Road, Lanmadaw"
CMM,Sweety Fashion,Lwin Lwin Soe,09988198263,North Okkalapa,"No. 65, Khema (8) Street, Hta Ward"
CMM-2,ခြူးမေမေ,Thura Lwin,09799951012,Shwe Pyi Thar,"No. 159, Thiri Mingalar Circular Road (5), Ward 5/6, Shwe Pyi Thar"
CTM,My Heart Cosmetics & Accessories YGN Branch,,09793282598,Shwe Pyi Thar,"East/16, Ward 6, Thitsar (1) Road, near Hlawga Lower Gate Bus Stop"
CUY(JS),Curvy(Junction Square),Su Su,095002055,Kamayut,"Junction Square Shopping Mall, 1st Floor, Pyay Road & Kyaung Thar Road"
CUY(YK),Curvy(Yankin),Su Su,09754614522,Yankin,"No. 217, Thitsar Road, Ward 13"
DDC,Pan Pan Orchid Garden,Zin Mar Moe,09425021290,North Dagon,"Ward 47, Bo Myat Htun Road, corner of Zi Zawa Road"
DRS,Blackplick,Dreesy (Owner),09772233150,South Dagon,"No. 577, Pyidawtha Road, Ward 65 - enter from Ayeyarwady Road"
FFF,Dallas's Collections,Aung Zin Hein,09780949494,South Okkalapa,"No. 895, Brahmaso Road (5/7), Ward 5"
FFY,Bear Moonlight Corner,,09965965888,North Dagon,"No. 1265, Bo Min Yaung Road, Ward 41"
FHY,Fashion Hub Yangon,,09123456789,Bahan,"No 12, Main Road, Bahan"
HAM,Food For U,Myint Mo Oo,09424426681,East Dagon,"No. 665, Ward 9, Bo Saw Aung Road"
HBB,အေးချမ်းအောင်မြင်‌,Zar Chi Linn,09988069916,Thingangyun,"No. 613, Khaing Shwe War Road, Sa-Ka Ward, near San Pya Hospital"
HMS,APAC,,09264365636,Thingangyun,"Laydaungkan Ward, Kantaw Road - enter from Baw Myint Bus Stop"
HWC,DI,Hsu Wai,09425198039,North Okkalapa,"No. 1134, Indra (9) Street, south side of Maha Kyaint Thit Sar Shin Pagoda"
JJS,Jio Jio Shoe,Thawtar Linn Latt,09778878765,North Okkalapa,"1/144, Kanyaw Road, Waibagi New Town"
JLS,July Sis,Toe Toe Mar,09799248363,North Okkalapa,"No. 232, Sakkawut (3) Street, Market Area"
JSC,ချစ်သွန်းသိရိမေမေကလေးဒိုက်ဘာ လက်လီ/လက်ကား,Yeon Hlwar Sue,09420023724,Mingalar Taung Nyunt,"No. 122, 92nd Street, corner of Daw Thein Tin Road"
KAL,ရှုမဝ နိဗ္ဗာန်ကုန်ဆိုင်,Daw Zin Phyu,09773347829,East Dagon,Shin Htwe Nyo Road
KAS,Po Clothing,Pyae Phyo Oo,09420093957,Mayangone,"Thamine, Mudita Housing Estate"
KKC,ကိုကျော်အထည်ဆိုင်,U Mg Mg Tin,09256754864,Thingangyun,"No. 23, Independence Street (1), Ward (Ga)"
KKM,Nyi Nyi Lay အထည်ဆိုင်,Thida Aye,09760281046,West Yankin,"Building 1, Room 1, Yan Aye Road, Wawawun Housing Estate"
KNY,ကိန္နရီ,Kyaw Zay Htet,09759791826,North Dagon,"44th Bus Stop, near Bawtu Housing Estate, Bawtu Road"
KSA,ကောင်းစံ အထည်လက်ကား,Myat Pan Wutt Hmone,09444450780,North Dagon,"No. 383, Sein Pan Road, Ward 40, North Dagon"
KSC,ခင့်အလှူ,Chan Hnin Pwint Naing,09400823860,Thaketa,"No. 307, Thumana 5th Street"
KSF,လှမေတ္တာရှင်,,09667702774,North Dagon,"No. 1061, Bo Min Yaung Road, Ward 35, near 35th Bus Stop"
LOS,Lady Online Store,Phoo Pwint Phyu,09698793840,Mingalar Taung Nyunt,"No. 63, Phoe Myay Road - Park on Myanma Gon Yain Road, in front of the Dhamma Hall or Hospital"
LP3,Luna Press 3,Aye Chan Moe,09261144376,Tamwe,"No. W-35, Yuzana Plaza, Ground Floor, Entrance 5"
LXE,Puffy & Co,,09959256290,Thingangyun,"No. 261, Pyidaung Aye Road, Laydaungkan Ward"
MAU,Kyal Zin Fitness Centre,Tin Moe Khine,09946946449,East Dagon,"No. 102, Shwe Pyi Aye Road, Ward 9"
MEE,Mee Lay,Nwe Nwe Hlaing,09799737996,South Dagon,"No. 57, Sittwe Road, Ward 19(A)"
MEL,Dressy,Win Yu Yu Htay,09893341595,Shwe Pyi Thar,"No. 2211, Maha Bandula Road, Hlawga Lower Gate Bus Stop"
MHC,Poe Poe Lay,,09967071530,Sanchaung,"No. 13B, Ground Floor, Sanchaung Road, near Baho Road"
MMA,May Thawtar Online Shop,,09740830818,Thaketa,"No. 496(B), Kyaung Road, 4 Taung Ward"
MML,Ma Myat Lay,Myat Su Linn,09979991107,Thaketa,"No. 644, Shwe Oak Gu (6) Street, Ward 8"
MMM,Ma Ma Myat,Myat Noe Pwint,09797540398,Mingalar Taung Nyunt,"Building 171/175, Ground Floor, on Bo Min Yaung Road"
MOA,Moe Audio,Su Shwe Yee Win,09250293326,Dagon Myothit (Downtown Dagon),"Room 5, Market North Road, Baya Gyi Ward"
MOS,Mable Online Store,Myint Zu Thwin,09975068703,North Dagon,"No. 825/B, Saw Yan Paing Road, Ward 29"
MTC,HAIM,Moet Moet Khine Mar Aung,09256024266,North Okkalapa,"No. 526, Ground Floor, Thingyi Road"
MTL,PH Level 7,,09420029734,North Okkalapa,"No. 552, Thanda (1) Street, Kha Ward"
NDN,Hsu Wai,,09890334723,North Dagon,"No. 1000, Anawrahta Road, Ward 38"
NDN-E,NDN,Khine Lay Kyu,09420442214,East Dagon,"No. 565(B), Bo Moe Kyo Road, Ward 8, East Dagon"
NFT,Floral District,Ngwe Zin Thar,09760577685,Dagon Seikkan,"No. 14B, AYCT Condominium Housing Estate, Ayeyarwun Main Road"
NIP,Ninfinity Picks,Le Kyaw Phin,09978189382,South Okkalapa,"No. 24, Ward 11, Metta Road, South Okkalapa"
NKS,Neo Kids,,09777888999,South Okkalapa,"No 10, Thanthumar Road, South Okkalapa"
NNL,ရှင်မင်း,Nay Nay Naing Soe,09756559715,North Okkalapa,"No. 874, Sein Pan (8) Street, Hta Ward"
NPL,Naing Plastic,Su Myat Win,092035633,South Okkalapa,"No. 698, Bayint Naung Road, Ward 10"
PHS,Royal Poe,,09679755548,Lanmadaw,"No. 63, Middle Block, Lanmadaw 13th Street"
PHS-2,Phyu Sin,Slinnar,09954033833,North Dagon,"Bogyoke Aung San Road, in front of Pinlon City Mall, 2nd Floor, Pinlon Hill, North Dagon"
PIB,Jessica Sue Fashion Shop,Thein San Ni,09756463959,Tamwe,"Gate 4, Yar Pyae Market"
POC,ပုရစ်ကလေး ဒိုက်ဘာရောင်းဝယ်ရေး,Thet Ko Oo,09777759111,Shwe Pyi Thar,"No. 97-B, Myamarlar Road, Ward 9"
PPL,ရွှေမဟာ,Moe Thuzar Aye,095191464,North Okkalapa,"Ayeyar Main Road, between Ayeyar 11 & 12, Nya Ward - KM Mobile Shop"
PPO,PANN PANN Orchid Garden,,09987654321,North Dagon,"No 45, Floral Street, North Dagon"
PRE,Mommy Top Choice,,09260644879,Thaketa,"No. 299/A, Myamarlar Road, Industrial Zone"
PRY,Princess Royal ပိုးထည်/ချည်ထည်,,0000000000,,
PSO,Neo Kids,Fried Groundnut,09673333788,Ahlone,"No. 57, Ngu War Road"
PTP,Galaxy အလှကုန်လက်ကား,Yeon Yandanar Lwin,09977262946,East Dagon,Pho Sein Main Road
PYC,Kant Kaw May,,09771443584,Kyimyindaing,"Building 66, Ground Floor, Bogyoke Road"
PYT,ဇံဇံ,Zin Mar Htay,09695778951,Bahan,Maha Si Thasana Yeiktha Road
RYP,Lynxiee Little Shop,,09881181177,Kyauk Myaung,"No. 40, Ground Floor, Aung Mingalar Road"
SDW,BC လူသုံးကုန်အမျိုးမျိုး,Min Htet Aung,09964607281,Mingalar Taung Nyunt,"No. 18, 110th Street, near Mingalar Taung Nyunt Township Police Station"
SEN,Nwe Fashion,Nandar Aung,09777099242,Thaketa,"No. 25, Aung Thabye West (5) Street, Ward 7"
SGP,Singapore,Hnin Thiri Aung,09777759111,North Dagon,"No. 716(A), Maha Bandula Road, Ward 46"
SHM,The Gadget Store,,09960710848,Hlaing Thar Yar,"Below Meikhtila Market, near Bawa Thit Bus Stop"
SLN-SO,Slinnar's,Khine Thazin Han,09981381635,South Okkalapa,"No. 226, Metta Road, Ward 10"
SMH,Shwe Mahar,Ma Pan Ei Wai,09959959956,South Dagon,"No. 1235, Corner of Min Road & Min Road 2, Ward 55"
SMW,Classix Men Fashion,Yee Mon Oo,09799574394,Thuwunna,"Shop No. I-13-14, C Hall, Thuwunna Market"
SSF,Premier,,09967754539,North Okkalapa,Nwe Thar Ki (4) Street Junction - approach from Thudhamma Road side
SSF (ND),Su Su Fashion World 1,,09786872727,North Dagon,"U Wisara Road, in front of Maha Myay Housing Estate"
STF,Shwe Eaint,Nan Zin Zin Myint,'09250050750,South Okkalapa,"Metta Road, in front of 13th Market - No. 879, in front of Ngwe Yamon Market"
STP,Honey Baby & Beauty Store,Sa Linn Phyo,09965023790,East Dagon,"No. 735, May Yu 4th Street, Ward 6"
STZ,ဆောင်းသဇင်,Hnin Wai Zin,09769307005,Shwe Pyi Thar,"Htan Chauk Pin, Thiri Mingalar Circular Road, in front of Kyan Taing Aung Pagoda"
SWP,Sweetie Pie's,Ei Shwe Zin,09978939591,South Okkalapa,"No. 125(Kha), 14/3, Than Thu Mar Main Road"
TBO,စက်ရုံတိုက်ရိုက် အထည်လက်ကား,Oren,095111456,Thingangyun,"No. 17(A), Than Thu Mar Road, Ward 24, Thuwunna"
TGS,Aung Group,Min Hein Khant,09780338557,Hlaing Thar Yar,"Building 19, Room 201, Aye Yik Mon Housing Estate, Ngu War Road"
TOS,A&K Collection,Thazin Aung,09791693939,East Dagon,"No. 569-Kha, Bo Moe Kyo Road, Ward 8"
TOS-2,Thazin Online Shop,Aung Aung Oo,09674951532,North Dagon,"No. 421, Kyaung Road Bus Stop, Pinlon Main Road, Ward 32, North Dagon"
TSW,3 & 6,Ma Chan,09444693871,Insein,"No. 149, Bawdi Road"
XNF,KS Cosmetic,,09941662665,Sanchaung,"No. 4, Nyaung Tone Road"
ZAR,T-Z5,Thet Mon Myint,'09695739035,North Dagon,"No. 40, Maha Bandula Road, Pinlon Housing Estate, Part 1"
ZAR-2,Zar အထည်,Win Win Maw,09765144772,North Dagon,"40/Tha-173, Min Ye Kyaw Swar Road, Ward 40"
