id,email,business_name,is_active,created_at,merchant_code,merchant_name,contact_person,phone,business_type,address,status,registration_date,updated_at,name,township,city,state
2aefb759-2c58-43e0-8d3e-daeff7778ddf,,Best Buy in Rangoon,true,2026-05-19 21:31:10.378093+00,BBR,Best Buy in Rangoon,Ei Htet Htet Min,09977730920,Online Shop,"No. (2), Ground Floor, Maha Bawga Road, Hledan",active,2026-05-01,2026-07-14 21:02:16.318312+00,Best Buy in Rangoon,Kamayut,Yangon,Yangon Region
2c12a8c1-b9cd-4bd0-b749-d43fb1ffdc0b,,Curvy (Office),true,2026-05-19 21:31:10.378093+00,,Curvy (Office),Su Wint Htet,09776527618,Online Shop,"No. (896), Aung Thiri (2) Street, Ward (28)",active,2026-05-01,2026-07-14 21:02:16.318312+00,Curvy (Office),North Dagon,Yangon,Yangon Region
2c873848-86ad-4d7b-997d-9f15bb739723,,,true,2026-07-14 21:02:16.318312+00,DND,,,,,,active,2026-07-14,2026-07-14 21:02:16.318312+00,DND,,,Yangon
35cdf289-bf12-4e15-be1f-99b90d0802cf,,Nan Htike Tan,true,2026-05-08 14:11:23.04783+00,,Nan Htike Tan,Nan Htike Tan,09764881098,Online Shop,"No. (689), Mayu (4) Street, Ward (6), East Dagon",active,2026-05-01,2026-07-14 21:02:16.318312+00,Nan Htike Tan,East Dagon,Yangon,Yangon Region
3ef3127e-14c7-451e-92c5-b39f40e4a955,,Shwe Sin,true,2026-05-19 21:31:10.378093+00,SHS,Shwe Sin,Mya Thida,09975538286,Online Shop,"No. (815), Anawrahta Road, Ward (9), East Dagon",active,2026-05-01,2026-07-14 21:02:16.318312+00,Shwe Sin,East Dagon,Yangon,Yangon Region
4576a633-2d71-47e3-bcee-4138e0d15d4e,,,true,2026-07-14 21:02:16.318312+00,BAB,,,,,,active,2026-07-14,2026-07-14 21:02:16.318312+00,Baby Top,,,Yangon
49cbe428-9bca-4c31-aec4-450d23548d94,,Baby world,true,2026-05-19 21:31:10.378093+00,BBW,Baby world,Ma Htet Htet Hlaing,09759791826,Online Shop,"No. (22), Bo Hmu Ba Htoo Road, Ward (6), East Dagon",active,2026-05-01,2026-05-01 20:20:23.772166+00,Baby world,East Dagon,Yangon,Yangon Region
4b47816e-3ed2-42ce-8870-3b1c729adc53,,,true,2026-07-14 21:02:16.318312+00,KKK,,,,,,active,2026-07-14,2026-07-14 21:02:16.318312+00,ကိုကျော် အထည်,,,Yangon
4b506607-937a-4dd3-9979-eccbb408abd7,,Slinnar's Beauty Club North Dagon,true,2026-05-19 21:31:10.378093+00,SLN,Slinnar's Beauty Club North Dagon,Slinnar's Beauty Club North Dagon,09-954033833,Online Shop,"On Bayint Naung Main Road, in front of Pinlon City Mall, Pinlon Hill, Second Floor, North Dagon",active,2026-05-01,2026-05-01 20:20:23.772166+00,Slinnar's Beauty Club North Dagon,North Dagon,Yangon,Yangon Region
56d4818e-6852-4559-b9b4-869d1621c566,,kyal Win yan,true,2026-05-20 06:52:26.250384+00,KWY,kyal Win yan,Win Win May,09-765144772,Online Shop,"No. (40)/(Ta-173), Min Ye Kyaw Swar Road, Ward (40), North Dagon",active,2026-05-01,2026-05-01 20:20:23.772166+00,kyal Win yan,North Dagon,Yangon,Yangon Region
56f5573c-5740-434b-81c6-787aeb9fac9f,,July Sis,true,2026-05-19 21:31:10.378093+00,JLS,July Sis,Thae Thae,09698793840,Online Shop,"No. (232), Sakkawat (3) Street, Zay Market, North Okkalapa",active,2026-05-01,2026-07-14 21:02:16.318312+00,July Sis,North Okkalapa,Yangon,Yangon Region
57d4dcf2-a8d3-4f2e-a065-b384bb39c0c1,,,true,2026-07-14 21:02:16.318312+00,NHT,,,,,,active,2026-07-14,2026-07-14 21:02:16.318312+00,နန်းထိုက်တန်,,,Yangon
58cde538-b2a0-47a6-b49e-0bf942f720a1,,Pan Tharaphy,true,2026-05-20 06:52:26.250384+00,,Pan Tharaphy,Yoon Yadana Lwin,095191464,Online Shop,"No. (47/B1), Pho Sein Road, Bahan",active,2026-05-01,2026-07-14 21:02:16.318312+00,Pan Tharaphy,Bahan,Yangon,Yangon Region
5bfba836-cabc-4001-a557-e6d27c03487c,,Curvy (Yankin),true,2026-05-19 21:31:10.378093+00,CUY(YK),Curvy (Yankin),Curvy Yankin,09-772233150,Online Shop,"No. (217), Thitsar Road, Ward (13), Yankin",active,2026-05-01,2026-05-01 20:20:23.772166+00,Curvy (Yankin),Yankin,Yangon,Yangon Region
64bb60b2-3216-4f52-9b3b-7e6ac19b7977,,Thingangyun Bracnh,true,2026-05-19 21:31:10.378093+00,,Thingangyun Bracnh,Aye Thuzar Aung,09424596830,Branch Office,"No. (114/B), Pyitawaye Road, Lay Daunk Kan Ward, Thingangyun",,2026-05-06,2026-07-14 21:02:16.318312+00,Thingangyun Bracnh,Thingangyun,Yangon,Yangon Region
653f6708-3ed4-4dac-8982-b7c0f4f08c90,,,true,2026-07-14 21:02:16.318312+00,PTP,,,,,,active,2026-07-14,2026-07-14 21:02:16.318312+00,ပန်းသရဖီ,,,Yangon
66041a5e-ae5a-443e-a47a-fdb4d9a8d213,,Singapore Online Shop,true,2026-05-20 06:52:26.250384+00,SOS,Singapore Online Shop,Hnin Thiri,09250050750,Online Shop,"No. (716/A), Maha Bandula Road, also known as Mandalay Road, Ward (46), North Dagon",,2026-05-02,2026-05-01 19:20:23.772166+00,Singapore Online Shop,North Dagon,Yangon,Yangon Region
74ea6021-15e4-489c-a3b3-01cbab6ec367,,,true,2026-07-14 21:02:16.318312+00,NFS,,,,,,active,2026-07-14,2026-07-14 21:02:16.318312+00,နွယ် Fashion,,,Yangon
76bd9fa5-3da7-407f-a5bd-992b0e97bb52,,APAC,true,2026-05-20 06:52:26.250384+00,APA,APAC,Ma Wai Zin Phyo,09888867040,Online Shop,"No. (7), San Pale (7) Street, Bo Lein Aung Mingalar Ward, west of Yuzana Plaza, APAC Tower",active,2026-05-01,2026-07-14 21:02:16.318312+00,APAC,Tamwe,Yangon,Yangon Region
78ab1fde-7c97-4954-982b-279bc1d25c68,,Phyu Sin OS,true,2026-05-19 21:31:10.378093+00,PSO,Phyu Sin OS,Aye Pwint Phyu,09740908663,Online Shop,"No. (57), Ngu Wah Road, Ahlone",active,2026-05-01,2026-07-14 21:02:16.318312+00,Phyu Sin OS,Kyimyindaing,Yangon,Yangon Region
7ca9ed62-d4b6-4724-9f9a-9c2b27ffc62c,,A&K Collection,true,2026-05-19 21:31:10.378093+00,AK,A&K Collection,Ma Jar Li,09-978939591,Online Shop,"No. (125/B), Ward 14/3, Thandumar Main Road, near Okkalapa Pagoda, South Okkalapa",active,2026-05-01,2026-05-01 20:20:23.772166+00,A&K Collection,South Okkalapa,Yangon,Yangon Region
7dd4d741-bfde-4ffd-96c8-f3ca526a380e,,Pleasure,true,2026-05-19 21:31:10.378093+00,PLE,Pleasure,Aye Pwint Phyu,09740908663,Online Shop,"No. (57), Ngu Wah Road, Ahlone",active,2026-05-01,2026-07-14 21:02:16.318312+00,Pleasure,Alone,Yangon,Yangon Region
7e7acc93-8c25-450a-baf3-baa22d31235a,,Daw Sanda,true,2026-05-20 06:52:26.250384+00,DSD,Daw Sanda,Daw Sanda,09776110406,Online Shop,"No. (439), Nay Kyar 1 Street, Ward (50), North Dagon, Yangon",active,2026-05-01,2026-07-14 21:02:16.318312+00,Daw Sanda,North Dagon,Yangon,Yangon Region
7ef81c9b-722f-4e2a-9b76-5212253bc959,,Mandalay Branch,true,2026-05-19 21:31:10.378093+00,,Mandalay Branch,Ma Khin Nyein Chan,09765540091,Branch Office,"House No. (B/4), 65th Street, between 30th and 31st Streets, Mandalay",active,2026-05-01,2026-07-14 21:02:16.318312+00,Mandalay Branch,Mandalay,Mandalay,Mandalay
80945069-6eef-447d-9f04-3d9f12783aa0,,Lady OS,true,2026-05-19 21:31:10.378093+00,LOS,Lady OS,Zin Mar Nwe,09981435810,Online Shop,"No. (63), Pho Mye Road, on Myanmar Gon Yi Road, Mingalar Taung Nyunt",active,2026-05-01,2026-07-14 21:02:16.318312+00,Lady OS,Mingala Taung Nyunt,Yangon,Yangon Region
89445534-d4d4-4d4e-b210-e462c234a86c,,Sweety Fashion House,true,2026-05-19 21:31:10.378093+00,SFH,Sweety Fashion House,Nan Nan,09451578299,Online Shop,"No. (879), Metta Road, in front of 13 Market, in front of Ngwe Yamone Market, South Okkalapa",active,2026-05-01,2026-05-01 20:20:23.772166+00,Sweety Fashion House,South Okkalapa,Yangon,Yangon Region
926260e9-108b-4e54-aaa0-72efd59fdfbb,,Neo Kids,true,2026-05-19 21:31:10.378093+00,NKS,Neo Kids,Willian Hein,09-5199004,Online Shop,"No. (698), Baya Thingyan Road, Ward (10), South Okkalapa",active,2026-05-01,2026-05-01 20:20:23.772166+00,Neo Kids,South Okkalapa,Yangon,Yangon Region
937cbd6c-5ca5-4598-a19d-ca976414ac80,,Curvy (Junction Square),true,2026-05-20 06:52:26.250384+00,CUY(JS),Curvy (Junction Square),Curvy Junction Square,09-754614522,Online Shop,"Junction Square Shopping Mall, First Floor, Pyay Road and Kyun Taw Road, Kamayut",active,2026-05-01,2026-05-01 20:20:23.772166+00,Curvy (Junction Square),Kamayut,Yangon,Yangon Region
93fd6748-f4d2-4e21-bcf6-4a2db5d46f11,,,true,2026-07-14 21:02:16.318312+00,EMF,,,,,,active,2026-07-14,2026-07-14 21:02:16.318312+00,EM Fashion,,,Yangon
94601f77-25e1-4194-97b7-a419649330c3,,,true,2026-07-14 21:02:16.318312+00,HAI,,,,,,active,2026-07-14,2026-07-14 21:02:16.318312+00,Haim,,,Yangon
95a2c2e6-a6ae-40e9-9cac-eed34527c985,,,true,2026-07-14 21:02:16.318312+00,CUY,,,,,,active,2026-07-14,2026-07-14 21:02:16.318312+00,Curvy,,,Yangon
96a273dd-bea2-4180-95b2-f50d5a5fc2c2,,Nwe Fashion,true,2026-05-19 21:31:10.378093+00,,Nwe Fashion,Ma Nwe,09777099242,Online Shop,"No. (57), Sipin Road, Ward 19(A), South Dagon",active,2026-05-01,2026-07-14 21:02:16.318312+00,Nwe Fashion,South Dagon,Yangon,Yangon Region
a1d3b403-7b6c-4d4a-a04f-be6642f1f700,,Shwe Eaint,true,2026-05-19 21:31:10.378093+00,,Shwe Eaint,Shwe Eaint,09944436600,Online Shop,"No. (25), Aung Thapyay West (5) Street, Ward (7), Thaketa",active,2026-05-01,2026-07-14 21:02:16.318312+00,Shwe Eaint,Thaketa,Yangon,Yangon Region
a2a6f501-4aaa-42f3-8679-e63a1c23b29d,,Baby Genius,true,2026-05-19 21:31:10.378093+00,BBG,Baby Genius,Lin Lin Htet,09766482813,Online Shop,"No. (284/979), Bo Moe Kyo Road, Ward (9), East Dagon",active,2026-05-01,2026-07-14 21:02:16.318312+00,Baby Genius,East Dagon,Yangon,Yangon Region
ab1e6154-d1db-4962-b8ea-72af51244f3b,,Nay Pyi Taw Branch,true,2026-05-20 06:52:26.250384+00,,Nay Pyi Taw Branch,Ma Moh Moh Thant,09782326699,Branch Office,"No. (5), Aung Zabu Ward (9), in front of Naypyidaw Council, Zabuthiri Township, Naypyidaw",active,2026-05-01,2026-07-14 21:02:16.318312+00,Nay Pyi Taw Branch,Nay Pyi Taw,Yangon,Yangon Region
afc4b547-4df2-4b14-a4c6-e4658c268959,,Payit Ka lay,true,2026-05-20 06:52:26.250384+00,,Payit Ka lay,Zin Mar Htay,09669716499,Online Shop,"Police Staff Housing, Mahasi Sasana Yeiktha Road, Bahan",active,2026-05-01,2026-07-14 21:02:16.318312+00,Payit Ka lay,Bahan,Yangon,Yangon Region
b25bd2ac-940f-45e6-9dea-35f76be201d8,,PO Clothing,true,2026-05-19 21:31:10.378093+00,POC,PO Clothing,Ko Thet Oo,09420093957,Online Shop,"No. (97/B), Mya Marlar Road, Ward (9), Shwe Pyi Thar",active,2026-05-01,2026-07-14 21:02:16.318312+00,PO Clothing,Shwe Pyi Thar,Yangon,Yangon Region
b3bff854-c3e2-4a8b-9d8d-a084b9a5deab,,Su Su Fashion World,true,2026-05-19 21:31:10.378093+00,SSF,Su Su Fashion World,Su Su,09786872727,Online Shop,"Building (1), A1, Ward (42), U Wisara Main Road, in front of Maha Myaing Housing, North Dagon",active,2026-05-03,2026-07-14 21:02:16.318312+00,Su Su Fashion World,North Dagon,Yangon,Yangon Region
b764174e-3bec-4022-a67f-f46e7f0ee718,,MaBel OS,true,2026-05-19 21:31:10.378093+00,MBO,MaBel OS,Myint Zu,09893341595,Online Shop,"No. (825/B), Saw Yan Paing Road, Ward (29), North Dagon",active,2026-05-01,2026-07-14 21:02:16.318312+00,MaBel OS,North Dagon,Yangon,Yangon Region
b94e3d7f-e6b0-46b8-9d84-110e17e17035,,Baby Kyaw,true,2026-05-19 21:31:10.378093+00,BBK,Baby Kyaw,Hlaing Hlaing Oo,09796491867,Online Shop,"No. (115-Ka), Ward (9), Yuzana Road, Shwe Pyi Thar",active,2026-04-10,2026-07-14 21:02:16.318312+00,Baby Kyaw,Shwe Pyi Thar,Yangon,Yangon Region
bd1b8cb5-5672-46de-9043-ff871f8fb41a,,BabyTop,true,2026-05-19 21:31:10.378093+00,BBT,BabyTop,Dawn No No Ko,09699468766,Online Shop,"No. (23), corner of 130th Street and Thone Myaung Road, Mingalar Taung Nyunt",active,2026-05-01,2026-07-14 21:02:16.318312+00,BabyTop,Mingala Taung Nyunt,Yangon,Yangon Region
befbc7f1-eda8-460f-9d8d-467fa29f45a9,,Mee Lay,true,2026-05-20 06:52:26.250384+00,MEL,Mee Lay,Win Pa Pa Htay,09799737996,Online Shop,"No. (2212), Maha Bandula Road, Hlawga Lower Gate Bus Stop, Shwe Pyi Thar",active,2026-05-01,2026-07-14 21:02:16.318312+00,Mee Lay,Shwe Pyi Thar,Yangon,Yangon Region
c0f9eea1-f362-4938-82f9-f2123bc051f9,,Pi Ti Sar Pay,true,2026-05-20 06:52:26.250384+00,,Pi Ti Sar Pay,Sayar Kyaw,09257060323,Book Store,"No. (1170), Min Ye Kyaw Swar Main Road, Ward (133), East Dagon Township, Yangon",active,2026-05-01,2026-07-14 21:02:16.318312+00,Pi Ti Sar Pay,East Dagon,Yangon,Yangon Region
c279e178-3606-4f62-bda1-75606bfc4822,,Hla Myittar Shin,true,2026-05-20 06:52:26.250384+00,,Hla Myittar Shin,Ko Tun,09264365636,Online Shop,"No. (542), Lay Daunk Kan Ward, Kandaw Road, Thingangyun",active,2026-05-01,2026-07-14 21:02:16.318312+00,Hla Myittar Shin,Thingangyun,Yangon,Yangon Region
c5a0b297-befc-4607-94db-6024de64de55,,PANN PANN Orchid Garden,true,2026-05-19 21:31:10.378093+00,PP,PANN PANN Orchid Garden,Pann Pann,09-791596959,Online Shop,"No. (383), Sein Pan Road, Ward (40), North Dagon",active,2026-05-01,2026-05-01 20:20:23.772166+00,PANN PANN Orchid Garden,North Dagon,Yangon,Yangon Region
cc3850b1-c7fd-42b8-a44b-50f895c4548d,,Poe Poe Lay,true,2026-05-20 06:52:26.250384+00,PPL,Poe Poe Lay,Moe Thuzar Aye,09253420220,Online Shop,"Between Streets 11 and 12, on Ayar Main Road, Nya Ward, North Okkalapa",active,2026-05-01,2026-07-14 21:02:16.318312+00,Poe Poe Lay,North Okkalapa,Yangon,Yangon Region
ccf0a1a9-687d-487d-820d-f699d39d41a3,,Ei Tone,true,2026-05-20 06:52:26.250384+00,ETE,Ei Tone,Ei Tone,095409045,Online Shop,"Building No. (31), Room 6, West Kyo Kone Yeiktha, second street after Kyo Kone Flower Market, unnamed street on the road to Insein RTAD",active,2026-05-01,2026-07-14 21:02:16.318312+00,Ei Tone,Insein,Yangon,Yangon Region
cd705522-a7c9-4944-a120-87ce6480fb7e,,,true,2026-07-14 21:02:16.318312+00,MDY,,,,,,active,2026-07-14,2026-07-14 21:02:16.318312+00,မန္တလေး ရုံးခွဲ,,,Yangon
d05cfbc9-de0f-40b9-9783-57dd1bd50d34,,,true,2026-07-14 21:02:16.318312+00,SEN,,,,,,active,2026-07-14,2026-07-14 21:02:16.318312+00,ရွှေအိမ့်,,,Yangon
dcdb9eef-dffc-4c4a-b84d-9d01b8f4f517,,HAIM,true,2026-05-19 21:31:10.378093+00,HAM,HAIM,Si Kyaw Si Thu,0424426681,Online Shop,"No. (665), Bo Saw Aung Road, Ward (9), East Dagon Township, Yangon Region",active,2026-05-01,2026-07-14 21:02:16.318312+00,HAIM,East Dagon,Yangon,Yangon Region
e059c43f-f04c-4c04-b08a-7dd167b853f7,,,true,2026-07-14 21:02:16.318312+00,PYT,,,,,,active,2026-07-14,2026-07-14 21:02:16.318312+00,ပုရစ်,,,Yangon
f04a4bd9-c30f-4a8b-8963-b0116159045a,,Food For U,true,2026-05-19 21:31:10.378093+00,FFU,Food For U,Food For U,099777809039,Online Shop,"No. (1265), Ground Floor, Bo Min Yaung Road, Ward (41), North Dagon",active,2026-05-01,2026-05-01 20:20:23.772166+00,Food For U,North Dagon,Yangon,Yangon Region
f29a20d1-ef92-4691-92f6-88c26ded521e,,Zan Zan Export Clothings,true,2026-05-19 21:31:10.378093+00,ZZE,Zan Zan Export Clothings,Zan Zan Soe,09673648505,Online Shop,"No. (159-B), Thiri Mingalar Circular Road, Ward 5/6, Shwe Pyi Thar",,2026-05-09,2026-05-01 12:20:23.772166+00,Zan Zan Export Clothings,Shwe Pyi Thar,Yangon,Yangon Region
f446ada3-8fcd-4dda-a7f9-752c58615ca6,,Aung Pyae Sone,true,2026-05-19 21:31:10.378093+00,APS,Aung Pyae Sone,Ei Zar,09752660008,Online Shop,"No. (7), beside Ayeyarwun Main Road, Kwe Ma Housing, 10th Ward",active,2026-05-01,2026-07-14 21:02:16.318312+00,Aung Pyae Sone,Thaketa,Yangon,Yangon Region
f595daff-bb5c-4ebc-856d-e1b966d437d0,,,true,2026-07-14 21:02:16.318312+00,NPT,,,,,,active,2026-07-14,2026-07-14 21:02:16.318312+00,နေပြည်တော် ရုံးခွဲ,,,Yangon
f67957ab-d2bd-4efe-9098-24dfe0c2d6b8,,Alnoor,true,2026-05-20 06:52:26.250384+00,ALN,Alnoor,Gon Gon,09448088835,Online Shop,"No. (1526), Ward (45), Zawgyi Road, North Dagon",active,2026-05-01,2026-07-14 21:02:16.318312+00,Alnoor,North Dagon,Yangon,Yangon Region
f9a2388c-4057-4b7b-a5ca-898ddf899c8e,,Shwe Yee,true,2026-05-19 21:31:10.378093+00,SYE,Shwe Yee,Shwe Yee,09752882403,Online Shop,"Near Dagon Ayar Highway, Sein Tharaphu (2) Street, opposite Pattamyar Nwe Phone Shop",active,2026-05-05,2026-07-14 21:02:16.318312+00,Shwe Yee,Hlaing Thar Yar,Yangon,Yangon Region
fae08258-15b8-4417-8b1c-b1a6ef1cfee8,,,true,2026-07-14 21:02:16.318312+00,TGK,,,,,,active,2026-07-14,2026-07-14 21:02:16.318312+00,သင်္ဃန်းကျွန်း ရုံးခွဲ,,,Yangon
