merchant_code,merchant_name,contact_person,phone,township,address
DDC,DDC Beauty Channel,Ei Zar Htwe,09969793443,Thaketa,
DND,DND,Su Myat Mon,09978709088,Kyauktada,"No. 250, Ground Floor, 39th Street"
DRS,Dressy ,Zu Zu,09264426550,Kamayut,"Hledan Centre, 1st Floor, Kamayut Township"
DSY,Dressy ,Zu Zu,09264426550,Kamayut,"Hledan Centre, 1st Floor, Kamayut Township"
EMF,EM Fashion,Aye Myat Khine,09420067645,East Dagon,"No. 1289, Padauk (1) Street, Ward 12"
ETE,Ei Tone,May Thazin Ko,09798154798,North Okkalapa,"No. 33, Thumitta (2) Street, Ward 1"
FFY,Food For U,Hnin Nu Nwe,09252327685,Mingala Taung Nyunt,
GGS,The Gadget Store,Su Yati,09790518778,Kamayut,"No. 12/A, Inya Road"
GPP,Giggling Platypus,Khin Yati,09401569420,Bahan,"No. 54, Pearl Condo, Block C"
GRS,GRS Express,Ma Myint Soe,09897729745,Sanchaung,အမှတ် (၁၈)၊ ဓမ္မာရုံလမ်းတို၊ တောင်ရပ်ကွက်၊ မြေနီကုန်း
HAM,HAIM,Aye Nyein Thu,09421155998,Lanmadaw,"No. 88, 11th Street"
HBB,Honey Baby & Beauty Store,Honey,09799887766,Pabedan,"No. 112, 29th Street"
HWC,Hsu Wai အထည်,,09421155998,Lanmadaw,No. 88, 11th Street
IGS,Ingyin San,Ingyin,095112233,Dagon,"No. 5, Nawaday Street"
IMK,I Mark,Kyaw Kyaw,09977665544,Kyauktada,"No. 33, Sule Pagoda Road"
JLS,July Sis,Toe Toe Mar,09799248363,Thingangyun,"No. 232, Sakkawut (3) Street, Market Area"
KHL,Khin Lay,Khin Lay,09255443322,Insein,"No. 14, Mingaladon Road"
KSC,KS Cosmetic,Khaing Shwe,09788776655,Sanchaung,"No. 22, Padonmar Street"
KSF,Kyal Sin Fitness,Kyal Sin,09443322111,Tamwe,"No. 55, Kyaikkasan Road"
KTE,Kan Toe,Kan Toe,09988776655,North Dagon,"No. 88, U Wisara Road"
KYA,Kyaw Aung,Kyaw Aung,09776655443,South Okkalapa,"No. 99, Thanthumar Road"
LOS,Lady Online Store,Phoo Pwint Phyu,09698793840,Mingala Taung Nyunt,"No. 63, Phoe Myay Road - Park on Myanma Gon Yain Road"
LXE,Lynxiee's Little Shop,Lin Lin,09223344556,Hlaing,"No. 11, Hlaing River Road"
MAU,Moe Audio,Moe,09554433221,Kyimyindaing,"No. 77, Lower Kyimyindaing Road"
MAY,May Fashion,May,09445566778,Kamayut,"No. 44, Inya Road"
MBO,MaBel OS,Ma Bel,09778899001,Bahan,"No. 33, Saya San Road"
MEL,Mee Lay,Mee Lay,09998877665,Sanchaung,"No. 22, Baho Road"
MHC,My Heart Cosmetic ,Hsu Hsu,09221100998,Pabedan,"No. 11, Anawrahta Road"
MHD,Moe Hijab Diary,Moe,09443322110,Mingala Taung Nyunt,"No. 55, Upper Pansodan Road"
MKM,မိတ်ကောင်းမွန်,,09790518778,Kamayut,No. 12/A, Inya Road
MMM,Ma Ma Myat,Myat Noe Pwint,09797540398,Mingala Taung Nyunt,"Building 171/175, Ground Floor, on Bo Min Yaung Road"
MML,Ma Myat Lay,Myat Su Linn,09979991107,Mayangone,"No. 644, Shwe Oak Gu (6) Street, Ward 8"
MOS,Mable Online Store,Myint Zu Thwin,09975068703,Thingangyun,"No. 825/B, Saw Yan Paing Road, Ward 29"
MPU,Mini Products for You,Mini,09556677889,Insein,"No. 88, Insein Road"
MTC,Mommy Top Choice,Mommy,09776655443,Hlaing,"No. 99, Thamine Station Road"
NDN,NDN,Nadi,09988776655,Kamayut,"No. 11, Hledan Road"
NFT,Nfinity,Nifi,09445566778,Sanchaung,"No. 22, Pyay Road"
NNL,Nay Nay Lay,Nay Nay,09223344556,Bahan,"No. 33, Kabar Aye Pagoda Road"
OTH,Other,Other,09000000000,Yangon,
PHS,ph level 7,Phyo,09554433221,Kyauktada,"No. 44, Merchant Road"
PIB,Pack It Best,Ei Thet Mon,09799617032,Tamwe,"No. 11, Ground Floor, 140th Street, Ma U Kone Ward"
PLE,Pleasure,Pleasure,09998877665,Pabedan,"No. 55, Bogyoke Aung San Road"
POC,PO Clothing,Po Po,09778899001,Lanmadaw,"No. 66, Mahabandoola Road"
POE,Poe Poe OS,Poe Poe,09443322110,Latha,"No. 77, Strand Road"
PPL,Poe Poe Lay,Poe Poe Lay,09221100998,Ahlone,"No. 88, Lower Kyimyindaing Road"
PRE,PREMIER,Premier,09556677889,Dagon,"No. 99, Pyay Road"
PSO,Phyu Sin OS,Phyu Sin,09790518778,Kamayut,"No. 12/A, Inya Road"
PYC,Puffy & Co,Puffy,09988776655,Sanchaung,"No. 11, Baho Road"
RYP,Royal Poe,Poe,09445566778,Bahan,"No. 22, Saya San Road"
SGP,Singapore Store,SGP,09223344556,Kyauktada,"No. 33, Sule Pagoda Road"
SHS,Shwe Sin,Shwe Sin,09554433221,Pabedan,"No. 44, Anawrahta Road"
SLC,Sheila Collections,Sheila,09778899001,Mingala Taung Nyunt,"No. 55, Upper Pansodan Road"
SMH,ရွှေမဟာ,,09978709088,Kyauktada,No. 250, Ground Floor, 39th Street
SOU,Soul Things,Soul,09998877665,Tamwe,"No. 66, Kyaikkasan Road"
SSF,Su Su Fashion,Su Su,09443322110,Thingangyun,"No. 77, Lay Daungkan Road"
STF,Sweety Fashion,Sweety,09221100998,South Okkalapa,"No. 88, Thanthumar Road"
STP,Sweety Pie,Sweety Pie,09556677889,North Dagon,"No. 99, U Wisara Road"
STZ,ဆောင်းသဇင်,,09264426550,Kamayut,Hledan Centre, 1st Floor, Kamayut Township
SYE,Shwe Yee,Shwe Yee,09790518778,Kamayut,"No. 12/A, Inya Road"
TEX,Tone X,Tone,09988776655,Sanchaung,"No. 11, Padonmar Street"
TOS,Thazin OS,Thazin,09445566778,Bahan,"No. 22, Pearl Condo"
TSC,Twin Soul Collection,Twin,09223344556,Lanmadaw,"No. 33, 11th Street"
TSW,3 & 6,Ma Chan,09444693871,Insein,"No. 149, Bawdi Road"
ULM,U Lay Moy,Moy,09554433221,Pabedan,"No. 44, 29th Street"
UQD,Unique/Diva,Ma Wai Zin Phyo,09888867040,Tamwe,"No. (7), San Pale (7) Street, Bo Lein Aung Mingalar Ward"
WLH,WahLah,Wah,09778899001,Kyauktada,"No. 55, Merchant Road"
XNR,Xing Nora,Nora,09998877665,Hlaing,"No. 66, Hlaing River Road"
YDC,Yadanar Clothing,Yadanar,09443322110,Mayangone,"No. 77, Shwe Oak Gu Street"
YMM,May Ya min Myat,May,09221100998,Thingangyun,"No. 88, Yadanarpon Road"
ZAR,Zar အထည်,,09556677889,Insein,No. 88, Insein Road
ZSQ,Z Square,Z,09790518778,Kamayut,"No. 12/A, Inya Road"
